reporting_start,campaign_id,age,gender,interest1,interest2,interest3,impressions,clicks,spent,total_conversion,approved_conversion
Sunday,936,35,F,31,36,36,3010,1,0.860000014,1,1
Saturday,936,40,F,10,16,12,27081,9,10.77000046,1,1
Saturday,936,40,F,18,20,24,21664,7,10.61999977,1,1
Saturday,936,40,F,19,21,20,9112,4,5.460000038,1,1
Saturday,936,45,F,10,16,12,46150,15,20.17999983,1,1
Monday,936,45,F,18,23,24,12956,4,5.49000001,1,1
Monday,936,35,M,15,16,18,4607,1,1.149999976,1,1
Monday,936,35,M,16,17,21,13355,2,3.180000067,1,1
Monday,936,35,M,22,25,25,2793,1,0.980000019,1,1
Monday,936,40,M,2,7,6,4016,2,1.480000049,1,1
Monday,936,40,M,16,20,17,14843,3,2.939999938,1,1
Monday,936,45,M,10,14,13,9674,3,4.600000024,1,1
Friday,936,30,F,10,14,13,31393,8,10.96000051,1,1
Friday,936,30,F,15,21,18,8410,2,2.359999895,1,1
Thursday,936,35,F,27,29,28,10164,2,3.720000029,1,1
Saturday,936,40,F,16,17,19,41720,10,12.06000006,1,1
Friday,936,45,F,31,34,32,7821,4,6.340000153,1,1
Monday,936,45,F,19,22,20,3659,1,0.49000001,1,1
Tuesday,936,45,F,29,30,31,7550,1,1.679999948,1,1
Tuesday,936,45,F,28,33,29,45397,15,25.41999936,1,1
Tuesday,936,30,M,16,22,22,23086,2,3.310000062,1,1
Monday,936,45,F,65,68,68,12706,3,4.98999989,1,1
Wednesday,936,45,M,64,69,65,19353,6,9.4799999,1,1
Tuesday,936,30,M,16,19,22,15753,1,0.569999993,1,1
Tuesday,936,40,M,19,21,24,3523,1,1.809999943,1,1
Tuesday,936,30,M,10,11,12,7966,1,1.179999948,1,1
Sunday,936,30,M,10,16,16,8213,1,1.379999995,1,1
Tuesday,936,45,M,20,22,26,10257,3,3.579999924,1,1
Wednesday,936,35,M,10,11,15,9750,2,1.5,1,1
Wednesday,936,45,M,63,67,67,4333,1,0.180000007,1,1
Wednesday,936,40,M,27,31,28,11292,3,5.389999866,1,1
Thursday,936,30,M,65,66,67,2883,1,0.99000001,1,1
Thursday,936,40,M,29,31,34,19603,4,5.279999971,1,1
Friday,936,35,M,24,27,30,3029,1,1.049999952,1,1
Friday,936,45,M,26,29,28,3490,1,1.340000033,1,1
Wednesday,936,35,M,64,69,68,4726,1,1.830000043,1,1
Monday,936,30,M,26,32,31,11735,3,4.529999971,1,1
Monday,936,35,M,29,33,35,11446,2,3.090000033,1,1
Sunday,936,40,M,29,35,33,10090,2,2.650000095,1,1
Monday,936,40,M,32,35,38,9735,4,4.130000114,1,1
Tuesday,936,30,M,29,33,35,7629,1,0.720000029,1,1
Wednesday,936,30,M,28,32,32,7453,1,1.679999948,1,1
Wednesday,936,35,M,27,32,30,8077,2,3.579999924,1,1
Wednesday,936,30,M,26,29,29,6184,2,2.75,1,1
Tuesday,936,35,F,15,20,18,7116,2,1.730000019,1,1
Tuesday,936,45,M,10,14,13,11611,3,3.950000048,1,1
Tuesday,936,30,F,32,37,34,4402,1,1.330000043,1,1
Tuesday,936,30,F,18,22,24,5823,1,1.419999957,1,1
Monday,936,30,F,25,27,26,4971,1,1.230000019,1,1
Thursday,936,30,F,29,33,35,9076,1,1.379999995,1,1
Thursday,936,30,F,29,33,34,20941,4,5.909999967,1,1
Wednesday,936,45,F,16,17,17,16053,3,4.079999924,1,1
Wednesday,936,45,F,16,21,21,54724,12,17.92999995,1,1
Wednesday,936,40,F,32,38,36,8316,3,4.569999933,1,1
Saturday,936,35,F,10,13,15,7449,1,1.639999986,1,1
Friday,936,35,F,16,17,22,10186,1,1.230000019,1,1
Friday,936,30,M,20,25,22,3385,1,1.440000057,1,1
Sunday,936,30,M,24,30,28,5475,2,2.730000019,1,1
Sunday,936,30,F,18,24,20,8254,2,2.320000052,1,1
Monday,936,30,F,16,19,21,37873,5,6.169999957,1,1
Saturday,936,40,F,63,64,66,12318,5,6.340000153,1,1
Sunday,936,45,F,16,18,19,104578,29,39.25000095,1,1
Wednesday,936,35,F,64,70,67,5912,1,1.559999943,1,1
Tuesday,936,40,M,20,21,23,2367,2,2.839999914,1,1
Saturday,936,40,M,10,11,15,2967,1,1.5,1,1
Saturday,936,45,M,16,20,21,5894,1,1.539999962,1,1
Friday,936,35,F,22,28,28,4621,2,3.25,1,1
Friday,936,35,F,16,22,17,5775,1,1.580000043,1,1
Monday,936,45,F,16,20,19,7589,2,3.150000095,1,1
Tuesday,936,45,F,20,23,23,2077,1,1.50999999,1,1
Friday,936,30,F,28,33,34,2764,1,1.559999943,1,1
Friday,936,40,F,16,17,17,28169,8,12.36999989,1,1
Saturday,1178,30,M,19,24,25,98759,15,26.56999946,1,1
Sunday,1178,30,M,24,29,28,88443,7,13.0400002,1,1
Tuesday,1178,30,M,32,36,35,22256,1,1.659999967,1,1
Tuesday,1178,30,M,36,42,42,53520,6,9.2299999,1,1
Wednesday,1178,35,M,15,17,19,180351,21,37.13000011,1,1
Wednesday,1178,35,M,16,17,20,94257,7,12.5800004,1,1
Wednesday,1178,35,M,18,20,24,140749,19,30.4799999,1,1
Monday,1178,35,M,22,24,26,108362,13,22.42999983,1,1
Sunday,1178,35,M,24,25,28,220581,31,57.37,1,1
Tuesday,1178,35,M,30,31,36,95691,15,25.26000011,1,1
Wednesday,1178,35,M,36,39,38,35088,5,8.800000072,1,1
Thursday,1178,35,M,63,66,69,20959,2,3.769999981,1,1
Wednesday,1178,35,M,64,67,69,65060,7,14.5200001,1,1
Wednesday,1178,35,M,2,8,7,85970,14,24.78000021,1,1
Wednesday,1178,35,M,7,9,13,131232,16,29.53999937,1,1
Wednesday,1178,35,M,7,13,9,152454,22,37.84999979,1,1
Thursday,1178,35,M,66,69,72,80248,15,24.1900003,1,1
Friday,1178,40,M,15,17,17,163181,26,40.02000093,1,1
Friday,1178,40,M,16,22,20,75589,6,10.66000009,1,1
Thursday,1178,40,M,19,20,24,42563,5,9.659999847,1,1
Saturday,1178,40,M,22,28,27,34453,5,7.710000038,1,1
Saturday,1178,40,M,25,27,31,264222,63,87.7899996,1,1
Saturday,1178,40,M,30,36,33,188873,38,58.5999999,1,1
Sunday,1178,40,M,31,33,32,77794,14,19.11000001,1,1
Monday,1178,40,M,32,33,37,56630,9,15.81000018,1,1
Monday,1178,40,M,63,64,66,51858,8,12.63000011,1,1
Monday,1178,40,M,64,69,70,63660,11,16.47000003,1,1
Sunday,1178,40,M,2,4,5,128595,23,36.4800005,1,1
Sunday,1178,40,M,66,67,67,33154,5,7.879999995,1,1
Thursday,916,30,M,29,30,30,1915,0,0,1,1
Wednesday,916,30,M,28,30,32,1241,0,0,1,1
Wednesday,916,30,M,31,34,33,1024,0,0,1,1
Thursday,916,35,M,15,21,20,1422,0,0,1,1
Friday,916,35,M,16,19,18,3332,0,0,1,1
Friday,916,40,M,15,18,20,1398,0,0,1,1
Thursday,916,30,F,16,19,19,2654,0,0,1,1
Friday,916,45,F,10,13,11,1448,0,0,1,1
Friday,936,30,M,10,16,14,1772,0,0,1,1
Saturday,936,30,M,21,23,24,739,0,0,1,1
Saturday,936,30,M,36,38,38,790,0,0,1,1
Saturday,936,35,F,32,33,34,498,0,0,1,1
Friday,936,35,F,63,65,69,1357,0,0,1,1
Saturday,936,40,F,21,26,25,708,0,0,1,1
Sunday,936,45,M,20,21,24,533,0,0,1,1
Sunday,936,45,M,29,33,33,1447,0,0,1,1
Saturday,936,40,F,30,34,33,402,0,0,1,1
Monday,936,30,M,21,24,24,472,0,0,1,1
Monday,936,30,M,64,68,65,792,0,0,1,1
Monday,936,35,M,29,35,33,1662,0,0,1,1
Friday,936,45,M,21,27,23,370,0,0,1,1
Thursday,936,45,M,26,30,29,450,0,0,1,1
Thursday,936,30,F,10,12,14,2077,0,0,1,1
Friday,936,30,F,21,24,23,608,0,0,1,1
Thursday,936,30,F,27,30,33,1955,0,0,1,1
Thursday,936,30,F,63,69,69,1491,0,0,1,1
Thursday,936,30,F,64,66,66,1495,0,0,1,1
Friday,936,45,F,64,67,68,1363,0,0,1,1
Friday,936,45,F,15,16,19,3569,0,0,1,1
Monday,936,45,F,23,27,29,1168,0,0,1,1
Wednesday,936,30,F,7,9,13,1369,0,0,1,1
Wednesday,936,30,M,16,19,22,8817,0,0,1,1
Tuesday,936,30,M,10,14,13,4132,0,0,1,1
Sunday,936,30,M,2,4,7,545,0,0,1,1
Wednesday,936,45,M,36,41,38,1136,0,0,1,1
Wednesday,936,30,M,63,69,65,2383,0,0,1,1
Wednesday,936,30,M,64,69,70,1898,0,0,1,1
Wednesday,936,30,M,64,69,65,1882,0,0,1,1
Wednesday,936,40,M,7,10,12,1781,0,0,1,1
Wednesday,936,40,M,2,7,7,500,0,0,1,1
Sunday,936,30,M,32,35,36,1273,0,0,1,1
Monday,936,30,M,30,36,36,1371,0,0,1,1
Tuesday,936,35,F,23,28,27,1030,0,0,1,1
Monday,936,30,F,65,69,71,2879,0,0,1,1
Thursday,936,30,F,26,29,29,4073,0,0,1,1
Saturday,936,30,M,18,21,22,2916,0,0,1,1
Tuesday,936,30,M,20,24,22,343,0,0,1,1
Tuesday,936,30,M,15,19,16,1720,0,0,1,1
Tuesday,936,30,M,16,22,19,3423,0,0,1,1
Tuesday,936,30,M,10,13,15,1217,0,0,1,1
Saturday,936,30,M,32,38,34,540,0,0,1,1
Friday,936,30,M,29,31,35,1761,0,0,1,1
Wednesday,936,30,M,65,67,68,152,0,0,1,1
Wednesday,936,30,M,65,70,70,152,0,0,1,1
Saturday,936,30,F,7,13,9,457,0,0,1,1
Saturday,936,30,F,10,15,12,1539,0,0,1,1
Friday,936,35,F,18,21,19,784,0,0,1,1
Monday,936,30,F,29,32,31,1118,0,0,1,1
Sunday,936,40,F,10,15,15,848,0,0,1,1
Sunday,936,40,F,2,4,7,87,0,0,1,1
Tuesday,936,35,F,29,31,30,810,0,0,1,1
Monday,1178,30,M,10,16,15,24362,0,0,1,1
Wednesday,1178,30,M,63,69,67,11139,0,0,1,1
Tuesday,1178,30,M,2,4,4,9370,0,0,1,1
Thursday,916,30,M,16,19,21,17861,2,1.820000023,2,0
Saturday,936,30,M,29,32,35,5374,1,1.039999962,4,0
Tuesday,936,40,M,29,33,33,7709,2,1.320000052,2,0
Saturday,936,30,F,27,33,32,57022,13,20.29000032,3,3
Sunday,936,35,F,16,19,22,104648,24,33.33000004,4,2
Saturday,936,40,F,16,22,22,20233,4,5.590000153,3,0
Friday,936,30,M,16,18,18,8032,1,0.600000024,2,0
Saturday,936,40,F,16,22,19,29466,7,10.84999967,2,0
Saturday,936,45,F,16,18,19,102695,25,39.42999983,3,0
Saturday,936,45,F,27,32,31,82827,24,47.93000031,3,0
Saturday,936,45,F,16,17,18,99078,23,35.79999948,2,0
Monday,936,30,M,16,17,18,43756,5,5.439999938,0,0
Monday,936,45,F,63,64,68,63927,16,25.52000046,2,0
Friday,936,40,M,19,25,25,19581,7,10.42999983,2,0
Thursday,936,45,M,16,17,19,59433,12,19.65999949,3,0
Wednesday,936,45,M,16,17,19,157534,33,56.19000077,2,0
Thursday,936,30,M,19,20,20,5209,1,0.959999979,2,0
Thursday,936,30,M,18,23,24,13473,3,2.619999945,3,0
Monday,936,30,M,27,28,29,56615,12,19.88000035,2,0
Tuesday,936,30,F,15,18,17,8613,1,0.889999986,2,0
Tuesday,936,45,F,29,32,31,162341,56,77.07999969,3,0
Wednesday,936,30,F,22,24,26,44699,13,17.30000037,2,0
Friday,936,30,M,20,21,24,9134,3,4.180000067,2,0
Wednesday,936,35,F,29,31,35,29035,7,8.910000086,2,2
Tuesday,936,35,M,16,19,22,6607,1,1.320000052,2,0
Friday,936,30,M,28,31,30,7780,3,4.329999924,2,2
Friday,936,35,M,16,21,19,9948,2,2.720000029,2,0
Saturday,936,30,F,28,29,33,2879,1,1.590000033,2,2
Monday,936,45,F,10,12,15,24028,9,12.39000034,2,0
Tuesday,936,35,F,16,18,18,16274,4,6.079999924,2,0
Friday,936,30,F,20,23,21,4626,2,2.099999905,2,0
Monday,1178,30,M,10,11,15,1194718,141,254.049996,28,14
Monday,1178,30,M,10,12,11,637648,67,122.4,13,5
Monday,1178,30,M,10,16,12,459690,50,86.33000112,5,2
Monday,1178,30,M,10,11,16,750060,86,161.9099991,11,2
Tuesday,1178,30,M,15,18,21,1267550,123,236.7699986,24,10
Tuesday,1178,30,M,15,20,17,3052003,340,639.9499981,60,17
Friday,1178,30,M,15,18,20,357856,30,52.97000015,7,3
Friday,1178,30,M,16,20,20,2080666,202,360.1500015,40,21
Saturday,1178,30,M,16,22,19,145999,9,16.5200001,5,2
Saturday,1178,30,M,16,17,19,32616,1,1.539999962,2,0
Saturday,1178,30,M,16,20,18,984521,95,163.8999972,26,14
Saturday,1178,30,M,18,20,22,880814,123,210.3600006,6,2
Sunday,1178,30,M,18,24,24,894911,120,215.8399994,7,4
Saturday,1178,30,M,19,21,21,410310,55,96.80000055,3,0
Saturday,1178,30,M,19,20,24,572450,89,157.329998,7,4
Friday,1178,30,M,19,21,22,345371,54,93.08999991,7,3
Friday,1178,30,M,20,21,25,399199,58,103.1500002,3,0
Saturday,1178,30,M,20,26,24,1034284,152,257.7099986,20,9
Saturday,1178,30,M,20,21,24,45923,5,7.220000148,2,0
Monday,1178,30,M,21,27,25,83591,7,14.14000046,2,2
Monday,1178,30,M,21,23,27,114923,12,23.73000026,4,2
Monday,1178,30,M,22,26,24,328991,35,67.65000057,5,2
Monday,1178,30,M,23,28,27,221695,31,52.26000011,5,2
Saturday,1178,30,M,25,31,30,570699,80,138.7699997,9,2
Saturday,1178,30,M,25,29,31,1063508,145,260.3800013,23,7
Sunday,1178,30,M,26,31,32,278225,33,60.19999957,3,0
Sunday,1178,30,M,26,28,29,26316,2,3.24000001,3,0
Sunday,1178,30,M,27,28,33,876671,120,216.5599982,22,4
Monday,1178,30,M,27,32,29,399392,53,93.07000041,5,0
Wednesday,1178,30,M,27,28,29,260699,31,54.09999871,5,2
Wednesday,1178,30,M,28,29,29,1392288,206,358.5500029,31,7
Wednesday,1178,30,M,28,30,32,1109387,159,280.9899995,13,2
Monday,1178,30,M,29,32,34,581281,65,115.1200008,10,5
Wednesday,1178,30,M,29,35,33,1048861,128,219.770002,22,8
Wednesday,1178,30,M,29,34,31,227925,22,35.30999994,22,12
Wednesday,1178,30,M,29,34,31,374175,38,63.32000101,8,3
Tuesday,1178,30,M,31,37,35,100596,10,13.91999972,4,2
Tuesday,1178,30,M,32,36,37,404866,43,87.42000079,4,0
Sunday,1178,30,M,36,40,37,24952,5,8.220000267,3,2
Tuesday,1178,30,M,63,67,64,287976,31,59.43999982,3,2
Wednesday,1178,30,M,64,66,67,447420,66,110.2399991,7,2
Wednesday,1178,30,M,64,66,69,156101,19,29.75000048,2,2
Tuesday,1178,30,M,2,4,7,63785,7,11.80000019,6,2
Tuesday,1178,30,M,2,5,5,240123,38,65.67000115,5,4
Wednesday,1178,30,M,7,13,10,1044442,142,245.5999999,22,8
Thursday,1178,30,M,7,10,13,93891,11,17.6400001,5,3
Thursday,1178,35,M,10,13,12,770749,100,189.1299984,13,3
Wednesday,1178,35,M,10,15,16,362296,39,67.77000129,7,3
Wednesday,1178,35,M,15,16,17,782894,118,192.9299995,5,2
Wednesday,1178,35,M,16,17,22,1206533,128,236.1199988,17,6
Wednesday,1178,35,M,16,19,21,84494,7,12.57000017,2,0
Wednesday,1178,35,M,18,21,19,341603,50,83.48000121,4,2
Monday,1178,35,M,19,25,23,76355,9,14.62999988,2,0
Monday,1178,35,M,20,21,21,127476,21,30.15000057,3,2
Monday,1178,35,M,20,22,24,237603,37,62.25000024,5,2
Monday,1178,35,M,22,25,25,88970,10,14.8300004,2,0
Monday,1178,35,M,22,25,23,188596,27,44.14000034,3,0
Sunday,1178,35,M,22,24,24,275080,43,69.65999997,4,3
Sunday,1178,35,M,23,27,28,140147,24,42.08000016,2,0
Tuesday,1178,35,M,25,30,29,368986,59,100.289999,0,0
Wednesday,1178,35,M,25,30,27,28194,3,3.709999919,2,0
Wednesday,1178,35,M,27,33,31,110503,25,32.67999995,4,0
Wednesday,1178,35,M,28,31,29,1447755,233,420.5799983,11,8
Tuesday,1178,35,M,28,33,32,550954,84,150.1400012,3,0
Tuesday,1178,35,M,28,34,34,378350,55,96.48000073,4,0
Tuesday,1178,35,M,29,32,33,492784,56,95.5100013,7,4
Tuesday,1178,35,M,29,34,35,327158,43,72.3100003,6,2
Tuesday,1178,35,M,29,34,30,59390,5,9.209999919,5,3
Tuesday,1178,35,M,29,33,33,1040330,147,254.2500038,13,2
Sunday,1178,35,M,32,33,33,382537,63,113.9900012,4,3
Sunday,1178,35,M,32,37,33,461356,64,121.0999982,6,3
Wednesday,1178,35,M,32,38,34,392541,53,98.70000017,3,2
Thursday,1178,35,M,63,65,68,228861,33,53.38999939,4,2
Wednesday,1178,35,M,64,70,66,133316,21,36.17000055,2,0
Wednesday,1178,35,M,65,66,71,113501,26,38.44000077,5,4
Wednesday,1178,35,M,65,71,70,192810,41,61.92999995,4,3
Wednesday,1178,35,M,2,7,7,128843,24,37.5999999,2,0
Wednesday,1178,35,M,2,5,7,63564,12,20.59000027,2,0
Friday,1178,40,M,10,12,15,463813,69,116.3399996,4,2
Friday,1178,40,M,16,20,18,1117385,147,260.0699984,11,2
Friday,1178,40,M,16,21,22,1663441,205,359.4700001,17,6
Friday,1178,40,M,16,18,17,455248,54,105.7099996,5,2
Thursday,1178,40,M,16,21,22,594267,82,143.3000009,3,2
Friday,1178,40,M,20,26,21,399035,75,124.7999995,7,3
Thursday,1178,40,M,20,21,26,304680,59,98.55000019,3,0
Thursday,1178,40,M,20,25,22,439986,80,134.8799999,4,3
Monday,1178,40,M,20,26,26,75803,11,19.3599999,2,2
Saturday,1178,40,M,22,27,25,153586,28,43.01000035,2,0
Friday,1178,40,M,27,29,32,252991,49,76.83999932,3,0
Friday,1178,40,M,29,32,34,76923,11,17.67000008,2,2
Saturday,1178,40,M,29,35,32,526209,85,126.9299996,3,2
Saturday,1178,40,M,29,33,31,172827,25,38.42000043,2,0
Monday,1178,40,M,32,33,36,400844,85,140.9700022,4,2
Sunday,1178,40,M,7,9,11,242234,48,68.06000054,2,0
Sunday,1178,45,M,10,14,11,428812,66,116.8800001,4,2
Saturday,1178,45,M,10,16,16,1177535,221,365.6600009,15,3
Wednesday,916,45,M,18,506916,89,134,2,2,15,19
Wednesday,916,45,M,18,2286228,353,603,16,7,16,20
Wednesday,916,45,M,17,1228924,190,319,6,3,16,20
Wednesday,916,45,M,17,938283,134,249,7,2,16,22
Tuesday,916,45,M,25,309823,60,103,4,4,19,25
Saturday,916,45,M,25,355165,81,129,4,3,24,26
Friday,916,45,M,34,775904,172,254,4,2,28,30
Tuesday,916,45,M,30,563074,86,143,4,2,29,34
Sunday,916,45,M,30,1026304,168,278,17,8,29,32
Sunday,916,45,M,34,1391924,258,423,17,10,29,35
Saturday,916,45,M,35,433658,82,159,5,2,32,35
Sunday,916,30,F,14,318042,46,64,8,4,10,13
Monday,916,30,F,11,213016,30,44,8,2,10,14
Monday,916,30,F,18,1117371,177,268,26,5,15,17
Tuesday,916,30,F,21,275930,30,47,5,2,16,17
Tuesday,916,30,F,21,178455,20,32,6,3,16,20
Monday,916,30,F,20,690373,91,160,5,2,18,19
Monday,916,30,F,21,764793,101,172,4,2,18,21
Monday,916,30,F,25,565565,113,170,7,4,19,20
Monday,916,30,F,21,670608,130,195,11,3,20,22
Friday,916,30,F,25,159123,25,38,5,3,21,24
Tuesday,916,30,F,23,271589,45,74,9,3,21,27
Tuesday,916,30,F,22,119772,20,33,5,2,21,25
Sunday,916,30,F,32,373110,49,76,4,2,26,30
Sunday,916,30,F,29,935646,170,256,19,6,27,33
Monday,916,30,F,31,2223278,421,612,38,13,27,28
Monday,916,30,F,29,606786,127,179,11,3,28,31
Monday,916,30,F,29,1189509,268,376,7,3,28,34
Tuesday,916,30,F,34,1705246,295,429,23,10,29,35
Wednesday,916,30,F,33,990404,153,227,12,6,29,33
Wednesday,916,30,F,34,511726,77,123,8,4,32,38
Tuesday,916,30,F,38,390339,60,105,9,6,32,34
Wednesday,916,30,F,64,1296189,212,343,14,4,63,64
Wednesday,916,30,F,67,238036,38,61,6,3,64,67
Thursday,916,35,F,13,1025327,229,314,16,2,10,15
Thursday,916,35,F,21,1020561,172,264,7,3,16,17
Friday,916,35,F,22,682143,114,177,6,2,16,17
Friday,916,35,F,18,1247717,222,343,11,4,16,18
Saturday,916,35,F,17,1184580,194,298,14,3,16,21
Sunday,916,35,F,23,244074,57,85,4,2,21,27
Thursday,916,35,F,28,720859,162,214,13,5,27,32
Wednesday,916,35,F,34,148616,25,37,6,4,29,31
Wednesday,916,35,F,34,707260,135,211,13,6,29,34
Thursday,916,35,F,68,975792,210,294,10,4,63,69
Wednesday,916,35,F,69,449588,81,124,5,2,63,65
Tuesday,916,35,F,69,222739,55,69,5,2,64,67
Wednesday,916,40,F,12,611601,138,191,8,3,10,13
Wednesday,916,40,F,14,947657,233,322,8,4,10,13
Thursday,916,40,F,21,582725,142,195,9,2,15,18
Thursday,916,40,F,21,925555,182,263,4,2,16,19
Thursday,916,40,F,26,107501,27,41,2,2,23,25
Thursday,916,40,F,30,197772,63,88,7,2,25,26
Thursday,916,40,F,27,303971,77,107,11,6,26,28
Thursday,916,40,F,29,682046,183,254,4,2,26,30
Thursday,916,40,F,28,913929,245,340,7,2,27,33
Saturday,916,40,F,32,489573,113,156,3,2,29,34
Friday,916,45,F,14,725043,179,238,5,3,10,16
Monday,916,45,F,15,1358324,346,465,8,2,10,11
Monday,916,45,F,22,1015460,247,316,9,2,16,20
Monday,916,45,F,20,791817,194,282,4,2,18,21
Sunday,916,45,F,24,685211,164,247,4,3,18,23
Sunday,916,45,F,23,32781,7,11,2,2,19,24
Sunday,916,45,F,23,719083,206,300,12,5,19,24
Sunday,916,45,F,23,368480,107,140,5,4,20,23
Sunday,916,45,F,25,260945,73,101,2,2,20,24
Thursday,916,45,F,30,1055017,265,381,16,2,27,29
Thursday,916,45,F,30,1088027,272,410,9,4,27,31
Thursday,916,45,F,30,1097966,266,369,16,8,29,32
Thursday,916,45,F,30,854940,227,298,8,3,29,30
Saturday,916,45,F,33,104347,28,38,4,3,31,32
Friday,916,30,M,103,72228,5,8,4,4,101,106
Saturday,916,30,M,110,496760,42,61,10,3,107,108
Saturday,916,30,M,111,310988,34,47,11,3,110,112
Monday,916,35,M,105,92080,12,17,3,2,103,104
Sunday,916,40,M,113,187236,24,35,2,2,110,116
Wednesday,916,45,M,115,365539,57,82,5,2,109,115
Tuesday,916,30,F,102,524306,81,114,10,4,101,102
Tuesday,916,30,F,103,104496,9,11,3,2,102,103
